#{"t_start": 1653287569.179866, "env_id": null}
r,l,t,taskid,success
25.867441,20,9.031055,,0
17.775337,20,9.031144,,0
21.170982,20,9.031177,,0
24.332176,20,9.031203,,0
24.060059,20,11.032032,,0
36.581512,20,11.032118,,0
32.543705,20,11.032152,,0
23.362122,20,11.03218,,0
16.573156,20,13.126303,,0
15.685461,20,13.126433,,0
11.649878,20,13.126498,,0
21.583832,20,13.126523,,0
19.91264,20,14.998037,,0
24.369526,20,14.998117,,0
21.00439,20,14.998153,,0
37.922,20,14.998181,,0
33.465424,20,16.5519,,1
24.591242,20,16.551985,,0
20.171297,20,16.552018,,0
18.32914,20,16.552046,,0
28.394068,20,18.242048,,0
22.494606,20,18.242128,,0
36.77548,20,18.24216,,0
20.685902,20,18.242187,,0
20.299547,20,19.998452,,0
27.063913,20,19.998536,,0
32.40061,20,19.998568,,0
25.57797,20,19.998607,,0
21.260582,20,21.52793,,0
30.908297,20,21.528021,,0
31.764088,20,21.528053,,0
26.413137,20,21.528078,,0
17.962029,20,23.213644,,0
25.961897,20,23.213726,,0
16.671637,20,23.213755,,0
21.039223,20,23.21378,,0
28.868916,20,24.973569,,0
23.922321,20,24.973657,,0
23.168604,20,24.97369,,0
13.062169,20,24.973718,,0
23.733412,20,26.874755,,0
17.55355,20,26.874918,,0
34.483345,20,26.874955,,0
34.175682,20,26.875017,,0
23.873793,20,28.699266,,0
23.732662,20,28.699343,,0
18.24064,20,28.699373,,0
21.403708,20,28.699398,,0
21.46976,20,30.436144,,0
27.324785,20,30.43623,,0
16.062355,20,30.436267,,0
33.234627,20,30.436296,,0
26.304474,20,32.209154,,0
29.906845,20,32.209236,,1
31.182266,20,32.209266,,0
26.75038,20,32.209291,,0
42.57876,20,33.89055,,0
41.485115,20,33.890649,,0
37.609352,20,33.890698,,0
21.289566,20,33.890741,,0
35.29115,20,35.537682,,0
35.899147,20,35.537764,,0
31.088892,20,35.537823,,0
25.645178,20,35.537865,,0
42.909546,20,37.316952,,0
43.136574,20,37.317044,,0
20.207766,20,37.317079,,0
23.462873,20,37.317108,,0
15.585062,20,39.082486,,0
19.646652,20,39.082567,,0
30.60551,20,39.082633,,0
25.71409,20,39.082659,,0
29.101843,20,41.032078,,1
23.136963,20,41.032213,,0
20.92903,20,41.032245,,0
31.750582,20,41.032271,,0
23.012096,20,42.783342,,0
26.467558,20,42.783432,,1
22.850513,20,42.783467,,0
23.72903,20,42.783493,,0
29.580652,20,44.827676,,0
57.98077,20,44.827763,,0
21.89275,20,44.827798,,0
30.620066,20,44.827826,,0
23.868607,20,47.443423,,0
30.946241,20,47.443503,,0
45.59999,20,47.443534,,1
25.54224,20,47.443558,,0
28.028496,20,49.377988,,0
19.975615,20,49.378057,,0
22.750494,20,49.378086,,0
12.915443,20,49.37811,,0
17.600761,20,51.200999,,0
29.503885,20,51.20108,,0
30.329159,20,51.201109,,0
48.804874,20,51.201133,,1
22.62288,20,53.047032,,0
20.70717,20,53.047111,,0
34.927097,20,53.047141,,0
24.258839,20,53.047164,,0
40.229256,20,54.764468,,0
45.68127,20,54.764545,,0
55.139744,20,54.764575,,0
31.465277,20,54.764599,,0
28.48214,20,56.528381,,0
23.991995,20,56.528462,,0
23.183481,20,56.528494,,0
28.651293,20,56.52852,,0
16.355282,20,58.570567,,0
35.897266,20,58.570648,,0
34.206898,20,58.57068,,0
29.237782,20,58.570705,,0
28.451853,20,60.240817,,0
25.050909,20,60.2409,,0
22.43111,20,60.240934,,0
26.683449,20,60.24096,,0
31.919502,20,62.146782,,0
29.20435,20,62.146864,,0
20.889078,20,62.146948,,0
34.652927,20,62.146984,,0
25.321022,20,64.178774,,0
48.904762,20,64.178856,,1
40.930458,20,64.178886,,0
20.330954,20,64.178911,,0
32.41133,20,66.111837,,0
24.31384,20,66.11192,,0
25.34129,20,66.111954,,0
36.709488,20,66.111981,,0
27.837004,20,68.224604,,0
37.629303,20,68.224691,,0
17.040098,20,68.224723,,0
25.588202,20,68.224748,,0
36.12435,20,69.981021,,0
33.725075,20,69.981099,,0
14.833442,20,69.981145,,0
32.7921,20,69.98117,,0
23.900265,20,71.628987,,0
29.581753,20,71.629063,,0
29.130848,20,71.629097,,0
27.149597,20,71.629139,,0
27.043976,20,73.687819,,1
26.400108,20,73.687903,,0
28.045496,20,73.68794,,0
27.386692,20,73.687967,,0
34.72546,20,76.214731,,0
34.53502,20,76.214835,,0
51.633038,20,76.214871,,0
40.047363,20,76.214899,,0
22.56385,20,78.920081,,0
30.398727,20,78.920168,,0
23.553795,20,78.9202,,0
23.900715,20,78.920238,,0
33.510952,20,80.82354,,0
35.146004,20,80.823623,,0
27.32232,20,80.823654,,0
25.588894,20,80.823679,,0
17.405342,20,82.777054,,0
31.735167,20,82.777121,,0
15.685735,20,82.777149,,0
17.201813,20,82.777172,,0
